"latnum","longnum","start","end","severity","cause","flood"
22.6327,90.69585,NA,NA,NA,NA,"All Households"
22.6356,90.69081667,NA,NA,NA,NA,"All Households"
22.6352,90.68885,NA,NA,NA,NA,"All Households"
22.63511667,90.68923333,NA,NA,NA,NA,"All Households"
22.6319,90.69146667,NA,NA,NA,NA,"All Households"
22.62383333,90.68376667,NA,NA,NA,NA,"All Households"
22.62333333,90.68375,NA,NA,NA,NA,"All Households"
22.2713,90.98856667,NA,NA,NA,NA,"All Households"
22.27316667,90.96693333,NA,NA,NA,NA,"All Households"
22.28446667,90.97266667,NA,NA,NA,NA,"All Households"
22.27936667,90.97553333,NA,NA,NA,NA,"All Households"
22.27733333,90.97456667,NA,NA,NA,NA,"All Households"
22.27921667,90.97735,NA,NA,NA,NA,"All Households"
24.81483333,89.0378,NA,NA,NA,NA,"All Households"
24.81458333,89.03875,NA,NA,NA,NA,"All Households"
24.79096667,89.39633333,NA,NA,NA,NA,"All Households"
24.79076667,89.39545,NA,NA,NA,NA,"All Households"
24.78968333,89.39575,NA,NA,NA,NA,"All Households"
24.78916667,89.39345,NA,NA,NA,NA,"All Households"
24.78873333,89.39423333,NA,NA,NA,NA,"All Households"
24.78735,89.39263333,NA,NA,NA,NA,"All Households"
24.7515,89.5156,NA,NA,NA,NA,"All Households"
24.75161667,89.51431667,NA,NA,NA,NA,"All Households"
24.75081667,89.51633333,NA,NA,NA,NA,"All Households"
24.74986667,89.51651667,NA,NA,NA,NA,"All Households"
24.74931667,89.51526667,NA,NA,NA,NA,"All Households"
24.74886667,89.51551667,NA,NA,NA,NA,"All Households"
24.87336667,89.19091667,NA,NA,NA,NA,"All Households"
24.86916667,89.18388333,NA,NA,NA,NA,"All Households"
24.87315,89.18843333,NA,NA,NA,NA,"All Households"
24.87171667,89.1896,NA,NA,NA,NA,"All Households"
24.86878333,89.18668333,NA,NA,NA,NA,"All Households"
24.86811667,89.18741667,NA,NA,NA,NA,"All Households"
24.75431667,89.59493333,NA,NA,NA,NA,"All Households"
24.7592,89.59293333,NA,NA,NA,NA,"All Households"
24.7584,89.59851667,NA,NA,NA,NA,"All Households"
24.97533333,89.25505,NA,NA,NA,NA,"All Households"
24.97371667,89.25653333,NA,NA,NA,NA,"All Households"
24.97568333,89.2574,NA,NA,NA,NA,"All Households"
24.9743,89.25478333,NA,NA,NA,NA,"All Households"
23.82316667,90.78428333,NA,NA,NA,NA,"All Households"
23.8262,90.79581667,NA,NA,NA,NA,"All Households"
23.8262,90.79581667,NA,NA,NA,NA,"All Households"
23.8235,90.80023333,NA,NA,NA,NA,"All Households"
23.82133333,90.7841,NA,NA,NA,NA,"All Households"
23.82066667,90.78418333,NA,NA,NA,NA,"All Households"
23.82413333,90.79736667,NA,NA,NA,NA,"All Households"
23.82353333,90.79816667,NA,NA,NA,NA,"All Households"
23.82353333,90.79816667,NA,NA,NA,NA,"All Households"
23.82311667,90.79821667,NA,NA,NA,NA,"All Households"
23.825,90.79686667,NA,NA,NA,NA,"All Households"
24.02398333,91.10646667,NA,NA,NA,NA,"All Households"
24.02561667,91.10603333,NA,NA,NA,NA,"All Households"
24.0215,91.10035,NA,NA,NA,NA,"All Households"
24.02113333,91.10648333,NA,NA,NA,NA,"All Households"
24.02273333,91.10528333,NA,NA,NA,NA,"All Households"
24.01961667,91.1063,NA,NA,NA,NA,"All Households"
24.05351667,91.04961667,NA,NA,NA,NA,"All Households"
24.05355,91.0497,NA,NA,NA,NA,"All Households"
24.05355,91.0497,NA,NA,NA,NA,"All Households"
24.05376667,91.0499,NA,NA,NA,NA,"All Households"
24.05565,91.05041667,NA,NA,NA,NA,"All Households"
24.05256667,91.04788333,NA,NA,NA,NA,"All Households"
24.0515,91.0342,NA,NA,NA,NA,"All Households"
